OBJECTID,GID,CITY_NM,CITY_NBR,CITY_FIPS,INC_FLAG,CNTY_SEAT,POP1990,POP2000,POP2010,POP2020,CNTY_NBR,DIST_NBR
2680,3225,Graford,16750,4830380,Y,N,561,578,584,631,182,2
2681,3226,Rancho Viejo,34620,4860544,Y,N,885,1754,2437,2446,31,21
2682,3227,Bayview,3170,4806140,Y,N,231,323,383,404,31,21
2683,3228,Enchanted Oaks,13580,4824228,Y,N,290,357,326,343,108,10
2684,3229,Littlefield,24850,4843024,Y,Y,6489,6507,6372,5755,140,5
2685,3230,Hawkins,18400,4832816,Y,N,1309,1331,1278,1345,250,10
2686,3231,Bridge City,5650,4810252,Y,N,8034,8651,7840,7810,181,20
2687,324,Miller Grove,,4848468,N,N,,,,,113,1
2688,3232,Joshua,21350,4838080,Y,N,3828,4528,5910,8202,127,2
2689,3233,Roanoke,35800,4862504,Y,N,1616,2810,5962,9753,61,18
2690,3234,Addison,200,4801240,Y,N,8783,14166,13056,16218,57,18
2691,3235,Woodway,46950,4880224,Y,N,8695,8733,8452,9077,161,9
2692,3236,Paradise,31940,4855056,Y,N,,459,441,594,249,2
2693,3237,Crowley,10450,4817960,Y,N,6974,7467,12838,17593,220,2
2694,3238,Stephenville,40750,4870208,Y,Y,13502,14921,17123,21687,73,2
2695,3239,White Deer,45650,4878316,Y,N,1125,1060,1000,942,33,4
2696,3240,Ransom Canyon,34730,4860672,Y,N,750,1011,1096,1126,152,5
2697,3241,Timbercreek Canyon,42680,4873030,Y,N,277,406,418,479,191,4
2698,325,Cornersville,,4816756,N,N,,,,,113,1
2699,3242,Electra,13250,4822984,Y,N,3113,3168,2791,2737,243,3
2700,3243,Lakeside City,23520,4840756,Y,N,865,984,312,1008,5,3
2701,3244,Texline,42400,4872476,Y,N,425,511,507,534,56,4
2702,3245,Live Oak,,0,N,N,,,13131,16661,48,7
2703,3246,Sunrise Beach Village,41420,4871228,Y,N,497,704,713,810,150,14
2704,3247,Midland,28100,4848072,Y,Y,89443,94996,111147,147069,165,6
2705,3248,Chandler,7870,4814224,Y,N,1630,2099,2734,3219,108,10
2706,3249,Malakoff,26350,4846224,Y,N,2038,2257,2324,2314,108,10
2707,3250,Wells,,4877188,N,N,,,790,781,153,5
2708,3251,Haslet,18370,4832720,Y,N,795,1134,1517,2137,220,2
2709,326,Seymore,,4866956,N,N,,,,,113,1
2710,3252,Graham,16800,4830392,Y,Y,8986,8716,8903,8568,252,3
2711,3253,Granbury,16850,4830416,Y,Y,4045,5718,7978,11101,112,2
2712,3254,Glen Rose,16300,4829876,Y,Y,1949,2122,2444,2736,213,2
2713,3255,Azle,2300,4805168,Y,N,8868,9600,10947,13607,220,2
2714,3256,Wichita Falls,46050,4879000,Y,Y,96259,104197,104553,105405,243,3
2715,3257,Dublin,12200,4821484,Y,N,3190,3754,3654,3552,73,2
2716,3258,Denison,11350,4819900,Y,N,21505,22773,22682,25792,92,1
2717,3259,Gun Barrel City,17730,4831592,Y,N,3526,5145,5672,6309,108,10
2718,3260,Leary,24220,4842028,Y,N,395,555,495,502,19,19
2719,3261,Lindale,24650,4842820,Y,N,2428,2954,4818,6730,212,10
2720,327,Birthright,,4808356,N,N,,,,,113,1
2721,3262,Sunray,41350,4871180,Y,N,1729,1950,1926,1785,171,4
2722,3263,Dalhart,10800,4818524,Y,Y,6246,7237,7930,8252,56,4
2723,3264,Skellytown,39500,4868120,Y,N,664,610,473,444,33,4
2724,3265,Panhandle,31800,4854960,Y,Y,2353,2589,2452,2272,33,4
2725,3266,Claude,8500,4815196,Y,Y,1199,1313,1196,1200,6,4
2726,3267,Floresville,14650,4826160,Y,Y,5247,5868,6448,8144,247,15
2727,3268,Combine,9370,4816216,Y,N,1329,1788,1942,2537,130,18
2728,3269,Impact,20330,4835816,Y,N,25,39,35,31,221,8
2729,3270,Hawley,18430,4832840,Y,N,606,646,634,625,128,8
2730,3271,Godley,16350,4829972,Y,N,569,879,1009,1712,127,2
2731,328,Bolivar,,4809244,N,N,,,,,61,18
2732,3272,Alto,800,4802188,Y,N,1027,1190,1225,1239,37,10
2733,3273,Jacksonville,20850,4837216,Y,N,12765,13868,14544,14829,37,10
2734,3274,Elkhart,13350,4823140,Y,N,1076,1215,1371,1277,1,10
2735,3275,Mineola,28300,4848648,Y,N,4321,4550,4515,4951,250,10
2736,3276,Mount Pleasant,29100,4849800,Y,Y,12291,13935,15564,16020,225,19
2737,3277,Wills Point,46150,4879564,Y,N,2986,3496,3524,3703,234,10
2738,3278,Shady Shores,38970,4867100,Y,N,1045,1461,2612,2958,61,18
2739,3279,Oak Leaf,30590,4853115,Y,N,984,1209,1298,1498,71,18
2740,3280,Santa Fe,38220,4865726,Y,N,8429,9548,12222,13461,85,12
2741,3281,Memphis,27550,4847616,Y,Y,2465,2479,2290,1996,97,25
2742,329,Mustang,,4850160,N,N,,,21,23,61,18
2743,3282,Matador,27150,4847004,Y,Y,790,740,607,605,173,25
2744,3283,Slaton,39550,4868180,Y,N,6078,6109,6121,5975,152,5
2745,3284,Cresson,10180,4817648,Y,N,,800,741,1665,112,2
2746,765,Terryville,,4872332,N,N,,,,,62,13
2747,766,Westhoff,,4877596,N,N,,,,,62,13
2748,767,McCoy,,4845492,N,N,,,,,7,15
