,LocationAbbr,CMMR_Barcode,Target,Ct,copiesperml,SampleName,date_of_collection
183,Haskell,22-28765,NOROVIRUS,Undetermined,2081937.61294996,22-28765,2022-09-19
184,Homestead,HO-22-0926,NOROVIRUS,Undetermined,37557737.7910503,HO-22-0926,2022-09-19
185,Intercontinental Airport,IA-22-0926,NOROVIRUS,Undetermined,3831959.90875471,IA-22-0926,2022-09-19
186,John T. Hickerson,22-28763,NOROVIRUS,Undetermined,1269768.58849641,22-28763,2022-09-19
187,Metro Central,MC-22-0926,NOROVIRUS,Undetermined,2410499.56178776,MC-22-0926,2022-09-19
188,Park Ten,PT-22-0926,NOROVIRUS,Undetermined,4882034.47602106,PT-22-0926,2022-09-19
189,Roberto Bustamante,22-28766,NOROVIRUS,Undetermined,2545756.90094113,22-28766,2022-09-19
190,Turkey Creek,TC-22-0926,NOROVIRUS,Undetermined,15773174.1665234,TC-22-0926,2022-09-19
191,Almeda Sims,AS-22-0926,NOROVIRUS,Undetermined,4837061.61153807,AS-22-0926,2022-09-26
192,Fred Hurvey,22-28764,NOROVIRUS,Undetermined,958322.461851271,22-28764,2022-09-26
193,Haskell,22-28765,NOROVIRUS,Undetermined,139492.248835964,22-28765,2022-09-26
194,Homestead,HO-22-0926,NOROVIRUS,Undetermined,15326589.6984321,HO-22-0926,2022-09-26
195,Intercontinental Airport,IA-22-0926,NOROVIRUS,Undetermined,222960.587764681,IA-22-0926,2022-09-26
196,John T. Hickerson,22-28763,NOROVIRUS,Undetermined,113549.743141344,22-28763,2022-09-26
197,Metro Central,MC-22-0926,NOROVIRUS,Undetermined,6387348.91962387,MC-22-0926,2022-09-26
198,Park Ten,PT-22-0926,NOROVIRUS,Undetermined,1846506.12299465,PT-22-0926,2022-09-26
199,Roberto Bustamante,22-28766,NOROVIRUS,Undetermined,683509.726514394,22-28766,2022-09-26
200,Turkey Creek,TC-22-0926,NOROVIRUS,Undetermined,15839022.6025331,TC-22-0926,2022-09-26
201,Almeda Sims,AS-22-1003,NOROVIRUS,Undetermined,29708738.9775906,AS-22-1003,2022-10-03
202,Fred Hurvey,22-30170,NOROVIRUS,Undetermined,5586985.90387443,22-30170,2022-10-03
203,Haskell,22-30171,NOROVIRUS,Undetermined,5531385.94016963,22-30171,2022-10-03
204,Homestead,NA,NOROVIRUS,NA,0,NA,2022-10-03
205,Intercontinental Airport,IA-22-1003,NOROVIRUS,Undetermined,4034727.87073477,IA-22-1003,2022-10-03
206,John T. Hickerson,22-30169,NOROVIRUS,Undetermined,2681423.33547479,22-30169,2022-10-03
