,LocationAbbr,CMMR_Barcode,Target,Ct,copiesperml,SampleName,date_of_collection
233,Haskell,22-31392,SARSCOV2N1,Undetermined,47349.286081357,22-31392,2022-10-17
234,Homestead,HO-22-1017,SARSCOV2N1,Undetermined,12929.6777596144,HO-22-1017,2022-10-17
235,Intercontinental Airport,IA-22-1017,SARSCOV2N1,Undetermined,102990.153467152,IA-22-1017,2022-10-17
236,John T. Hickerson,22-31390,SARSCOV2N1,Undetermined,2295.91171841716,22-31390,2022-10-17
237,Metro Central,MC-22-1017,SARSCOV2N1,Undetermined,2142.66526846025,MC-22-1017,2022-10-17
238,Park Ten,PT-22-1017,SARSCOV2N1,Undetermined,58023.999973637,PT-22-1017,2022-10-17
239,Roberto Bustamante,22-31393,SARSCOV2N1,Undetermined,15545.4468993726,22-31393,2022-10-17
240,Turkey Creek,TC-22-1017,SARSCOV2N1,Undetermined,42806.4514079495,TC-22-1017,2022-10-17
241,Almeda Sims,AS-22-1024,SARSCOV2N1,Undetermined,80512.0344386411,AS-22-1024,2022-10-24
242,Fred Hurvey,22-31958,SARSCOV2N1,Undetermined,203717.588773754,22-31958,2022-10-24
243,Haskell,22-31959,SARSCOV2N1,Undetermined,172643.24986179,22-31959,2022-10-24
244,Homestead,HO-22-1024,SARSCOV2N1,Undetermined,65161.6435851217,HO-22-1024,2022-10-24
245,Intercontinental Airport,IA-22-1024,SARSCOV2N1,Undetermined,66996.3678033662,IA-22-1024,2022-10-24
246,John T. Hickerson,22-31957,SARSCOV2N1,Undetermined,74121.8252399744,22-31957,2022-10-24
247,Metro Central,MC-22-1024,SARSCOV2N1,Undetermined,23954.5555861143,MC-22-1024,2022-10-24
248,Park Ten,PT-22-1024,SARSCOV2N1,Undetermined,162095.511984931,PT-22-1024,2022-10-24
249,Roberto Bustamante,22-31960,SARSCOV2N1,Undetermined,340211.973158258,22-31960,2022-10-24
250,Turkey Creek,NA,SARSCOV2N1,NA,0,NA,2022-10-24
251,Almeda Sims,AS-22-1024,SARSCOV2N1,Undetermined,30186.3948204111,AS-22-1024,2022-10-31
252,Fred Hurvey,22-32663,SARSCOV2N1,Undetermined,1231718.00298694,22-32663,2022-10-31
253,Haskell,22-32664,SARSCOV2N1,Undetermined,274705.778169987,22-32664,2022-10-31
254,Homestead,HO-22-1024,SARSCOV2N1,Undetermined,24552.7816561101,HO-22-1024,2022-10-31
255,Intercontinental Airport,IA-22-1024,SARSCOV2N1,Undetermined,149463.36394963,IA-22-1024,2022-10-31
256,John T. Hickerson,22-32662,SARSCOV2N1,Undetermined,69192.8126084959,22-32662,2022-10-31
